ROAD_ID,PHYSICAL_ROAD_ID,PAVEMENT_SEGMENT_ID,STATE_CODE,STATE_NAME,SHRP_ID,CONSTRUCTION_NO,SURVEY_DATE,SURVEY_YEAR,SURVEY_SEQ_NO,PAVEMENT_FAMILY,PAVEMENT_FAMILY_EXP,FUNC_CLASS_EXP,LTPP_DIR_EXP,LTPP_LANE,GPS_SPS_EXP,EXPERIMENT_NO_EXP,PAVEMENT_AGE_YEARS,CUM_ESAL_AT_SURVEY,ESAL_SINCE_LAST_SURVEY,PRECIPITATION,EVAPORATION,PRECIP_DAYS,TEMP_AVG,FREEZE_INDEX,FREEZE_THAW,SHORTWAVE_SURFACE_AVG,AC_THICKNESS_MM,BASE_THICKNESS_MM,SUBBASE_THICKNESS_MM,TOTAL_PAV_THICKNESS_MM,NUM_AC_LAYERS,NUM_LAYERS_TOTAL,SURFACE_MATL,BASE_MATL,SUBGRADE_MATL,PRIOR_PATCH_COUNT,DAYS_SINCE_LAST_PATCH,PCI_SCORE,PCI_RATING,PCI_DOMINANT_DISTRESS,RUT_DEPTH_1_8IN,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,MRI,N_PRIOR_SURVEYS,PCI_PREV,PCI_CHANGE_SINCE_LAST,DAYS_SINCE_LAST_SURVEY,YEARS_SINCE_LAST_SURVEY,PCI_NEXT,DAYS_TO_NEXT_SURVEY,YEARS_TO_NEXT_SURVEY,SPLIT
1-1001-1,1-1001,1-1001-1-0,1,Alabama,1001,1,20/9/1991,1991,1,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,North,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,4.717316906,,,1499.18,1143.85,365.0,17.60000038,0.0,37.0,137298.4,86.36000091,157.4799952,485.1400097,728.9800058,3,6,"Hot Mixed, Hot Laid AC, Dense Graded",Crushed Gravel,Coarse-Grained Soil: Clayey Sand with Gravel,0,,99.8,Good,alligator_cracking (L),,,,,0,,,,,38.7,308.0,0.8432580424366872,train
1-1001-1,1-1001,1-1001-1-0,1,Alabama,1001,1,24/7/1992,1992,2,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,North,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,5.560574949,,,1398.78,1094.61,366.0,16.79999924,2.0,37.0,144577.8,86.36000091,157.4799952,485.1400097,728.9800058,3,6,"Hot Mixed, Hot Laid AC, Dense Graded",Crushed Gravel,Coarse-Grained Soil: Clayey Sand with Gravel,0,,38.7,Very Poor,rutting (H),10.0,0.998200011,0.857799995,0.927999997,1,99.8,-61.099999999999994,308.0,0.8432580424366872,76.7,175.0,0.4791238877481177,train
1-1011-1,1-1011,1-1011-1-0,1,Alabama,1011,1,15/7/1992,1992,1,ACATB,Asphalt concrete over asphalt treated base/subgrade,Rural Minor Arterial,West,1,General Pavement Studies,Asphalt Concrete on Bound Base,5.535934292,,,1377.47,1088.63,366.0,15.0,16.0,64.0,139849.5,25.4,127.0,254.0,406.4,1,5,"Hot Mixed, Hot Laid AC, Dense Graded","Recycled Asphalt Concrete, Plant Mix, Hot Laid",Coarse-Grained Soil: Clayey Sand,0,,65.0,Fair,rutting (M),7.0,0.8454,0.836799991,0.841199982,0,,,,,100.0,258.0,0.7063655030800822,train
1-1011-1,1-1011,1-1011-1-0,1,Alabama,1011,1,30/3/1993,1993,2,ACATB,Asphalt concrete over asphalt treated base/subgrade,Rural Minor Arterial,West,1,General Pavement Studies,Asphalt Concrete on Bound Base,6.242299795,,,1418.33,988.6,365.0,15.39999962,18.0,66.0,141153.9,25.4,127.0,254.0,406.4,1,5,"Hot Mixed, Hot Laid AC, Dense Graded","Recycled Asphalt Concrete, Plant Mix, Hot Laid",Coarse-Grained Soil: Clayey Sand,0,,100.0,Good,,,,,,1,65.0,35.0,258.0,0.7063655030800822,64.4,1710.0,4.681724845995893,train
1-1019-1,1-1019,1-1019-1-0,1,Alabama,1019,1,19/6/1991,1991,1,ACTB,Asphalt concrete over cement/lime treated base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Bound Base,4.462696783,,,1447.11,1273.66,365.0,18.39999962,0.0,28.0,133252.1,88.89999697,76.2,139.7,304.799997,2,5,"Hot Mixed, Hot Laid AC, Dense Graded",HMAC,Coarse-Grained Soil: Silty Sand,0,,20.0,Serious,rutting (H),13.0,1.353999996,1.4898,1.422000003,0,,,,,74.8,649.0,1.7768651608487338,train
1-1019-1,1-1019,1-1019-1-0,1,Alabama,1019,1,29/3/1993,1993,2,ACTB,Asphalt concrete over cement/lime treated base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Bound Base,6.239561944,,,1381.31,1232.37,365.0,18.0,5.0,22.0,149452.2,88.89999697,76.2,139.7,304.799997,2,5,"Hot Mixed, Hot Laid AC, Dense Graded",HMAC,Coarse-Grained Soil: Silty Sand,0,,74.8,Satisfactory,alligator_cracking (L),,,,,1,20.0,54.8,649.0,1.7768651608487338,5.1,845.0,2.3134839151266258,train
1-1019-1,1-1019,1-1019-1-0,1,Alabama,1019,1,22/7/1995,1995,3,ACTB,Asphalt concrete over cement/lime treated base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Bound Base,8.553045859,,,1617.69,1283.89,365.0,18.39999962,2.0,40.0,152128.8,88.89999697,76.2,139.7,304.799997,2,5,"Hot Mixed, Hot Laid AC, Dense Graded",HMAC,Coarse-Grained Soil: Silty Sand,0,,5.1,Failed,rutting (H),15.0,1.396200013,1.623999977,1.5102,2,74.8,-69.7,845.0,2.3134839151266258,0.0,916.0,2.507871321013005,train
1-1021-1,1-1021,1-1021-1-0,1,Alabama,1021,1,21/6/1991,1991,1,ACTB,Asphalt concrete over cement/lime treated base/subgrade,Rural Minor Arterial,West,1,General Pavement Studies,Asphalt Concrete on Bound Base,4.468172485,,,1283.26,1128.72,365.0,17.70000076,1.0,35.0,136395.7,78.73999758,114.3,441.9599903,634.9999879,2,5,"Hot Mixed, Hot Laid AC, Dense Graded",HMAC,Fine-Grained Soils: Sandy Silt,0,,40.0,Poor,rutting (H),8.0,,,,0,,,,,97.4,651.0,1.782340862422998,train
1-1021-1,1-1021,1-1021-1-0,1,Alabama,1021,1,2/4/1993,1993,2,ACTB,Asphalt concrete over cement/lime treated base/subgrade,Rural Minor Arterial,West,1,General Pavement Studies,Asphalt Concrete on Bound Base,6.250513347,,,1146.34,1072.0,365.0,17.29999924,9.0,34.0,151056.4,78.73999758,114.3,441.9599903,634.9999879,2,5,"Hot Mixed, Hot Laid AC, Dense Graded",HMAC,Fine-Grained Soils: Sandy Silt,0,,97.4,Good,alligator_cracking (L),,,,,1,40.0,57.400000000000006,651.0,1.782340862422998,10.0,1754.0,4.802190280629706,train
1-4073-2,1-4073,1-4073-2-0,1,Alabama,4073,2,5/12/1997,1997,1,ACATB,Asphalt concrete over asphalt treated base/subgrade,Rural Principal Arterial - Other,East,1,General Pavement Studies,Asphalt Concrete on Bound Base,1.557837098,,,1761.65,1044.43,365.0,13.80000019,70.0,65.0,147761.2,38.1,180.3399976,256.5399976,474.9799952,1,5,"Hot Mixed, Hot Laid AC, Dense Graded",HMAC,Coarse-Grained Soil: Silty Sand with Gravel,1,569.0,40.2,Poor,rutting (M),5.0,,,,0,,,,,25.4,1911.0,5.232032854209446,train
1-4073-2,1-4073,1-4073-2-0,1,Alabama,4073,2,28/2/2003,2003,2,ACATB,Asphalt concrete over asphalt treated base/subgrade,Rural Principal Arterial - Other,East,1,General Pavement Studies,Asphalt Concrete on Bound Base,6.789869952,,,1797.12,1138.55,365.0,14.10000038,54.0,81.0,144310.8,38.1,180.3399976,256.5399976,474.9799952,1,5,"Hot Mixed, Hot Laid AC, Dense Graded",HMAC,Coarse-Grained Soil: Silty Sand with Gravel,1,2480.0,25.4,Very Poor,block_cracking (M),5.0,1.188599992,1.095000005,1.141599989,1,40.2,-14.800000000000004,1911.0,5.232032854209446,25.4,332.0,0.9089664613278576,train
1-4125-1,1-4125,1-4125-1-0,1,Alabama,4125,1,11/12/1990,1990,1,ACTB,Asphalt concrete over cement/lime treated base/subgrade,Rural Principal Arterial - Other,West,1,General Pavement Studies,Asphalt Concrete on Bound Base,3.942505133,1676986.0,,875.22,953.52,365.0,19.0,3.0,20.0,155540.1,93.97999818,322.5799952,0.0,416.5599933,3,6,Chip Seal,"Other (Specify, if Possible)",Coarse-Grained Soil: Clayey Sand with Gravel,0,,23.8,Serious,rutting (H),9.0,1.051800013,0.887599993,0.970000005,0,,,,,36.0,192.0,0.5256673511293635,train
1-4125-1,1-4125,1-4125-1-0,1,Alabama,4125,1,21/6/1991,1991,2,ACTB,Asphalt concrete over cement/lime treated base/subgrade,Rural Principal Arterial - Other,West,1,General Pavement Studies,Asphalt Concrete on Bound Base,4.468172485,1852714.0,175728.0,1283.26,1128.72,365.0,17.70000076,1.0,35.0,136395.7,93.97999818,322.5799952,0.0,416.5599933,3,6,Chip Seal,"Other (Specify, if Possible)",Coarse-Grained Soil: Clayey Sand with Gravel,0,,36.0,Very Poor,rutting (H),9.0,,,,1,23.8,12.2,192.0,0.5256673511293635,26.5,1160.0,3.1759069130732374,train
1-4125-1,1-4125,1-4125-1-0,1,Alabama,4125,1,24/8/1994,1994,3,ACTB,Asphalt concrete over cement/lime treated base/subgrade,Rural Principal Arterial - Other,West,1,General Pavement Studies,Asphalt Concrete on Bound Base,7.644079398,2413833.0,561119.0,1786.02,1193.87,365.0,17.29999924,9.0,39.0,144709.4,93.97999818,322.5799952,0.0,416.5599933,3,6,Chip Seal,"Other (Specify, if Possible)",Coarse-Grained Soil: Clayey Sand with Gravel,0,,26.5,Very Poor,rutting (H),10.0,1.024800014,1.1704,1.097599983,2,36.0,-9.5,1160.0,3.1759069130732374,26.2,357.0,0.9774127310061602,train
1-4125-1,1-4125,1-4125-1-0,1,Alabama,4125,1,16/8/1995,1995,4,ACTB,Asphalt concrete over cement/lime treated base/subgrade,Rural Principal Arterial - Other,West,1,General Pavement Studies,Asphalt Concrete on Bound Base,8.621492129,2611753.0,197920.0,1268.05,999.67,365.0,17.79999924,6.0,50.0,152226.4,93.97999818,322.5799952,0.0,416.5599933,3,6,Chip Seal,"Other (Specify, if Possible)",Coarse-Grained Soil: Clayey Sand with Gravel,0,,26.2,Very Poor,rutting (H),10.0,1.065600014,1.142799997,1.104200006,3,26.5,-0.3000000000000007,357.0,0.9774127310061602,21.8,889.0,2.433949349760438,train
1-4125-1,1-4125,1-4125-1-0,1,Alabama,4125,1,21/1/1998,1998,5,ACTB,Asphalt concrete over cement/lime treated base/subgrade,Rural Principal Arterial - Other,West,1,General Pavement Studies,Asphalt Concrete on Bound Base,11.05544148,3243452.0,631699.0,1238.0,1137.53,365.0,18.79999924,0.0,24.0,155348.0,93.97999818,322.5799952,0.0,416.5599933,3,6,Chip Seal,"Other (Specify, if Possible)",Coarse-Grained Soil: Clayey Sand with Gravel,0,,21.8,Serious,rutting (H),11.0,,,,4,26.2,-4.399999999999999,889.0,2.433949349760438,16.1,2219.0,6.075290896646133,train
1-4126-1,1-4126,1-4126-1-0,1,Alabama,4126,1,16/7/1992,1992,1,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Interstate,South,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,4.125941136,3798888.0,,1499.43,1099.25,366.0,15.30000019,6.0,57.0,142710.3,332.7399945,467.3599903,0.0,800.0999849,2,4,"Hot Mixed, Hot Laid AC, Dense Graded",Soil-Aggregate Mixture (Predominantly Coarse-Grained),Coarse-Grained Soil: Silty Sand,0,,63.7,Fair,rutting (M),5.0,0.86279999,0.805000007,0.833799994,0,,,,,96.5,257.0,0.70362765229295,test
1-4126-1,1-4126,1-4126-1-0,1,Alabama,4126,1,30/3/1993,1993,2,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Interstate,South,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,4.829568789,4580441.0,781553.0,1357.14,974.92,365.0,15.69999981,15.0,61.0,144116.8,332.7399945,467.3599903,0.0,800.0999849,2,4,"Hot Mixed, Hot Laid AC, Dense Graded",Soil-Aggregate Mixture (Predominantly Coarse-Grained),Coarse-Grained Soil: Silty Sand,0,,96.5,Good,raveling_weathering (M),,,,,1,63.7,32.8,257.0,0.70362765229295,41.2,1711.0,4.684462696783025,test
1-4155-1,1-4155,1-4155-1-0,1,Alabama,4155,1,20/6/1991,1991,1,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,East,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,4.465434634,1317387.0,,1523.57,1197.29,365.0,18.70000076,0.0,20.0,134280.9,93.98000121,264.1599903,0.0,358.1399915,2,4,"Hot Mixed, Hot Laid AC, Dense Graded",Crushed Stone,Coarse-Grained Soil: Clayey Sand,0,,80.8,Satisfactory,alligator_cracking (L),,,,,0,,,,,45.7,651.0,1.782340862422998,train
1-4155-1,1-4155,1-4155-1-0,1,Alabama,4155,1,1/4/1993,1993,2,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,East,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,6.247775496,1519709.0,202322.0,1172.17,1110.31,365.0,18.39999962,0.0,18.0,152608.7,93.98000121,264.1599903,0.0,358.1399915,2,4,"Hot Mixed, Hot Laid AC, Dense Graded",Crushed Stone,Coarse-Grained Soil: Clayey Sand,0,,45.7,Poor,alligator_cracking (M),,,,,1,80.8,-35.099999999999994,651.0,1.782340862422998,3.2,841.0,2.302532511978097,train
1-4155-1,1-4155,1-4155-1-0,1,Alabama,4155,1,21/7/1995,1995,3,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,East,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,8.550308008,1685987.0,166278.0,1235.64,1245.02,365.0,18.60000038,1.0,33.0,152712.0,93.98000121,264.1599903,0.0,358.1399915,2,4,"Hot Mixed, Hot Laid AC, Dense Graded",Crushed Stone,Coarse-Grained Soil: Clayey Sand,0,,3.2,Failed,alligator_cracking (M),5.0,,,,2,45.7,-42.5,841.0,2.302532511978097,37.6,920.0,2.518822724161533,train
12-1030-2,12-1030,12-1030-2-0,12,Florida,1030,2,23/1/1997,1997,1,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,3.608487337,194478.0,,1368.9,1287.05,365.0,23.79999924,0.0,0.0,144409.5,83.81999879,248.9200048,434.3400097,767.0800133,1,4,"Hot Mixed, Hot Laid AC, Dense Graded",Soil-Aggregate Mixture (Predominantly Coarse-Grained),Coarse-Grained Soils: Poorly Graded Sand,0,,45.9,Poor,rutting (M),5.0,,,,0,,,,,9.5,481.0,1.3169062286105406,train
12-1030-2,12-1030,12-1030-2-0,12,Florida,1030,2,19/5/1998,1998,2,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,4.925393566,246399.0,51921.0,1201.23,1471.81,365.0,23.89999962,0.0,0.0,155274.7,83.81999879,248.9200048,434.3400097,767.0800133,1,4,"Hot Mixed, Hot Laid AC, Dense Graded",Soil-Aggregate Mixture (Predominantly Coarse-Grained),Coarse-Grained Soils: Poorly Graded Sand,0,,9.5,Failed,block_cracking (H),4.0,,,,1,45.9,-36.4,481.0,1.3169062286105406,9.5,426.0,1.1663244353182751,train
12-1030-2,12-1030,12-1030-2-0,12,Florida,1030,2,19/7/1999,1999,3,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,6.091718001,293719.0,47320.0,1686.98,1356.78,365.0,23.39999962,0.0,0.0,151044.7,83.81999879,248.9200048,434.3400097,767.0800133,1,4,"Hot Mixed, Hot Laid AC, Dense Graded",Soil-Aggregate Mixture (Predominantly Coarse-Grained),Coarse-Grained Soils: Poorly Graded Sand,0,,9.5,Failed,block_cracking (H),5.0,,,,2,9.5,0.0,426.0,1.1663244353182751,9.5,476.0,1.3032169746748803,train
12-1030-2,12-1030,12-1030-2-0,12,Florida,1030,2,6/11/2000,2000,4,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,7.394934976,345613.0,51894.0,733.69,1291.94,366.0,23.39999962,0.0,0.0,158766.9,83.81999879,248.9200048,434.3400097,767.0800133,1,4,"Hot Mixed, Hot Laid AC, Dense Graded",Soil-Aggregate Mixture (Predominantly Coarse-Grained),Coarse-Grained Soils: Poorly Graded Sand,0,,9.5,Failed,block_cracking (H),5.0,1.386800003,1.299399996,1.343000007,3,9.5,0.0,476.0,1.3032169746748803,9.5,386.0,1.056810403832991,train
12-1030-2,12-1030,12-1030-2-0,12,Florida,1030,2,27/11/2001,2001,5,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,8.45174538,416319.0,70706.0,1450.19,1181.27,365.0,23.60000038,0.0,0.0,146620.2,83.81999879,248.9200048,434.3400097,767.0800133,1,4,"Hot Mixed, Hot Laid AC, Dense Graded",Soil-Aggregate Mixture (Predominantly Coarse-Grained),Coarse-Grained Soils: Poorly Graded Sand,0,,9.5,Failed,block_cracking (H),6.0,,,,4,9.5,0.0,386.0,1.056810403832991,9.5,415.0,1.136208076659822,train
12-1030-2,12-1030,12-1030-2-0,12,Florida,1030,2,16/1/2003,2003,6,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,9.587953457,484042.0,67723.0,1213.13,1279.57,365.0,23.70000076,0.0,0.0,143255.8,83.81999879,248.9200048,434.3400097,767.0800133,1,4,"Hot Mixed, Hot Laid AC, Dense Graded",Soil-Aggregate Mixture (Predominantly Coarse-Grained),Coarse-Grained Soils: Poorly Graded Sand,0,,9.5,Failed,block_cracking (H),7.0,1.485200024,1.402399993,1.443599987,5,9.5,0.0,415.0,1.136208076659822,9.5,468.0,1.2813141683778233,train
12-1030-2,12-1030,12-1030-2-0,12,Florida,1030,2,28/4/2004,2004,7,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,10.86926762,523307.0,39265.0,1198.43,1207.85,366.0,23.89999962,0.0,0.0,151612.5,83.81999879,248.9200048,434.3400097,767.0800133,1,4,"Hot Mixed, Hot Laid AC, Dense Graded",Soil-Aggregate Mixture (Predominantly Coarse-Grained),Coarse-Grained Soils: Poorly Graded Sand,0,,9.5,Failed,block_cracking (H),6.0,1.7398,1.803799987,1.771799994,6,9.5,0.0,468.0,1.2813141683778233,9.5,259.0,0.7091033538672142,train
12-1030-2,12-1030,12-1030-2-0,12,Florida,1030,2,12/1/2005,2005,8,ACUB,Asphalt concrete over unbound base/subgrade,Rural Principal Arterial - Other,South,1,General Pavement Studies,Asphalt Concrete on Unbound Granular Base,11.57837098,573963.0,50656.0,1488.64,1329.18,365.0,23.29999924,0.0,0.0,148283.2,83.81999879,248.9200048,434.3400097,767.0800133,1,4,"Hot Mixed, Hot Laid AC, Dense Graded",Soil-Aggregate Mixture (Predominantly Coarse-Grained),Coarse-Grained Soils: Poorly Graded Sand,0,,9.5,Failed,block_cracking (H),6.0,,,,7,9.5,0.0,259.0,0.7091033538672142,9.5,664.0,1.8179329226557153,train
